Name,GUID,ReportName,Title,YearOfPublication,LinkingUri,LinkingUrl,ServerRelativeUrl,ServerRedirectedEmbedUri,ServerRedirectedEmbedUrl,Created,Length
SEVN_101-CB-1X_17.5_08-08-11_AM_ML_86-710 mBRT.pdf,896ec759-b4b0-4c78-95a4-4cab6befa157,Master log,,2011,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/8Aug11/SEVN_101-CB-1X_17.5_08-08-11_AM_ML_86-710 mBRT.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=f0d62dae-90f7-4d15-8dab-cb3236d6201b,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=f0d62dae-90f7-4d15-8dab-cb3236d6201b,2024-02-24T17:45:51,288762
SEVN_101-CB-1X_17.5_09-08-11_PM_ML_420-810 mBRT.pdf,00291f80-2958-4d85-8526-5afb2996c2af,Master log,,2011,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/9Aug11/SEVN_101-CB-1X_17.5_09-08-11_PM_ML_420-810 mBRT.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=091ccebe-1a8b-44b7-90a5-fbec5d7eebea,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=091ccebe-1a8b-44b7-90a5-fbec5d7eebea,2024-02-24T17:45:50,239171
SEVN_101-CB-1X_04-08-11_24h Drll Chart.pdf,bac8f11f-0fe1-4afe-a8b6-643372ef96b2,Data vs Time,,2011,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/04 Aug 2011/SEVN_101-CB-1X_04-08-11_24h Drll Chart.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=044be91c-c8c1-49eb-a106-d482a4230a44,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=044be91c-c8c1-49eb-a106-d482a4230a44,2024-02-24T17:45:51,393802
SEVN_101-CB-1X_Geoservices Mid Rpt_04-0811.XLS,02409d30-2ee5-4969-a29c-031673742542,,BSP Morning Report,,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20100-101/101-CB-1X/101-CB-1X_Master%20log/04%20Aug%202011/SEVN_101-CB-1X_Geoservices%20Mid%20Rpt_04-0811.XLS?d=wf8381ca8320145eeb252dd5ec4e43561,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/04 Aug 2011/SEVN_101-CB-1X_Geoservices Mid Rpt_04-0811.XLS?d=wf8381ca8320145eeb252dd5ec4e43561,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/04 Aug 2011/SEVN_101-CB-1X_Geoservices Mid Rpt_04-0811.XLS,,,2024-02-24T17:45:52,503296
Table 2.doc,d80c33fc-61f8-43ae-96e5-1f176f3785d2,Geochemical  report of the101-CB-1X Wel,	Table 1,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20100-101/101-CB-1X/101-CB-1X%20Geochemical%20report/Table/Table%202.doc?d=w372799d5cf764c9ca3aa174062908c29,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Table/Table 2.doc?d=w372799d5cf764c9ca3aa174062908c29,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Table/Table 2.doc,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={372799d5-cf76-4c9c-a3aa-174062908c29}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={372799d5-cf76-4c9c-a3aa-174062908c29}&action=interactivepreview,2024-02-24T17:45:53,113664
Table 1.doc,5910da36-c4f8-46aa-9a6a-b260c0587076,Geochemical  report of the101-CB-1X Wel,Table 1,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20100-101/101-CB-1X/101-CB-1X%20Geochemical%20report/Table/Table%201.doc?d=w69ec9aaf0b63483cb377d58ebf5bc262,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Table/Table 1.doc?d=w69ec9aaf0b63483cb377d58ebf5bc262,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Table/Table 1.doc,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={69ec9aaf-0b63-483c-b377-d58ebf5bc262}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={69ec9aaf-0b63-483c-b377-d58ebf5bc262}&action=interactivepreview,2024-02-24T17:45:52,75776
Table 11.doc,fee97375-7b16-4ae7-b69f-89769f8f9841,Geochemical  report of the101-CB-1X Wel,Table 5.1a	HOPANE IDENTIFICATION,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20100-101/101-CB-1X/101-CB-1X%20Geochemical%20report/Table/Table%2011.doc?d=wc0d6c650029941ed9f39f7eb5dc601c1,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Table/Table 11.doc?d=wc0d6c650029941ed9f39f7eb5dc601c1,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Table/Table 11.doc,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={c0d6c650-0299-41ed-9f39-f7eb5dc601c1}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={c0d6c650-0299-41ed-9f39-f7eb5dc601c1}&action=interactivepreview,2024-02-24T17:45:52,84480
Fig. 1.pdf,65d57297-e2b1-4b39-9c28-80bb98ba9901,Geochemical  report of the101-CB-1X Well (Isotope),,2011,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Isotope/Fig. 1.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=3cc98eca-aa0e-470c-b0a1-ee5795fedd2f,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=3cc98eca-aa0e-470c-b0a1-ee5795fedd2f,2024-02-24T17:45:52,127519
Fig. 3.pdf,c3e53203-e65a-4fd1-846c-b44df3d22e21,Geochemical  report of the101-CB-1X Well (Isotope),,2011,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Isotope/Fig. 3.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=590c6487-b921-4340-8b89-e905870cf33a,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=590c6487-b921-4340-8b89-e905870cf33a,2024-02-24T17:45:53,79382
Total-tables-CB-1X.xls,8bc05888-95d6-4476-901b-590ea1c99e14,Geochemical  report of the101-CB-1X Wel,,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20100-101/101-CB-1X/101-CB-1X%20Geochemical%20report/Table/Total-tables-CB-1X.xls?d=w33bfac65cccf496d9c8306a46f4ee609,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Table/Total-tables-CB-1X.xls?d=w33bfac65cccf496d9c8306a46f4ee609,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Table/Total-tables-CB-1X.xls,,,2024-02-24T17:45:52,424448
Fig. 2.pdf,51e803ff-239d-4261-8442-cedcb9291552,Geochemical  report of the101-CB-1X Well (Isotope),,2011,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Isotope/Fig. 2.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=14285126-36aa-4c13-9785-f8851c8be7a8,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=14285126-36aa-4c13-9785-f8851c8be7a8,2024-02-24T17:45:53,272001
report.doc,18ee440f-b94a-4522-a2dd-c31c4707e9c6,Geochemical  report of the101-CB-1X Well (Isotope),,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20100-101/101-CB-1X/101-CB-1X%20Geochemical%20report/Isotope/report.doc?d=w6d127fd7dc13497c9c81c18725e1c56e,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Isotope/report.doc?d=w6d127fd7dc13497c9c81c18725e1c56e,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Isotope/report.doc,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={6d127fd7-dc13-497c-9c81-c18725e1c56e}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={6d127fd7-dc13-497c-9c81-c18725e1c56e}&action=interactivepreview,2024-02-24T17:45:53,91648
Table 1-3.XLS,6420834b-ecb5-4847-b14b-444b79b78250,Geochemical  report of the101-CB-1X Well (Isotope),,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20100-101/101-CB-1X/101-CB-1X%20Geochemical%20report/Isotope/Table%201-3.XLS?d=wa6315daefdb34b0e9b157868c59f34dd,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Isotope/Table 1-3.XLS?d=wa6315daefdb34b0e9b157868c59f34dd,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X Geochemical report/Isotope/Table 1-3.XLS,,,2024-02-24T17:45:53,68608
101-CAT BA-1X_TIMELOG_04-14hr 05 Aug 2011.pdf,440b425b-2c0b-41d6-8d77-f592b7570370,Data vs time,,2011,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/05 Aug 2011/101-CAT BA-1X_TIMELOG_04-14hr 05 Aug 2011.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=27e31d1f-af12-4600-9b68-d7595567917a,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=27e31d1f-af12-4600-9b68-d7595567917a,2024-02-24T17:45:54,146745
SEVN_101-CB-1X_04-08-11_AM_Drll Chart.pdf,c5a1f546-c696-47aa-9bb2-847a48b79a0c,Data vs time,,2011,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/05 Aug 2011/SEVN_101-CB-1X_04-08-11_AM_Drll Chart.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=603cfc54-9ab3-4913-bc19-b58cbb013f6f,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=603cfc54-9ab3-4913-bc19-b58cbb013f6f,2024-02-24T17:45:54,87780
SEVN_101-CB-1X_Geoservices Aft Rpt_05-08-2011.XLS,989ddfae-2f12-437c-8117-48cb8fc616a9,Data vs time,BSP Morning Report,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20100-101/101-CB-1X/101-CB-1X_Master%20log/05%20Aug%202011/SEVN_101-CB-1X_Geoservices%20Aft%20Rpt_05-08-2011.XLS?d=w94776d1855234a8a9dfe020deeccce65,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/05 Aug 2011/SEVN_101-CB-1X_Geoservices Aft Rpt_05-08-2011.XLS?d=w94776d1855234a8a9dfe020deeccce65,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/05 Aug 2011/SEVN_101-CB-1X_Geoservices Aft Rpt_05-08-2011.XLS,,,2024-02-24T17:45:54,504320
SEVN_101-CB-1X_Geoservices Mor Rpt_05-08-2011.XLS,c2ae6e09-6916-4759-ae64-f358e4f78275,Data vs time,BSP Morning Report,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20100-101/101-CB-1X/101-CB-1X_Master%20log/05%20Aug%202011/SEVN_101-CB-1X_Geoservices%20Mor%20Rpt_05-08-2011.XLS?d=wac347afc85664c2aafc86487afdea61a,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/05 Aug 2011/SEVN_101-CB-1X_Geoservices Mor Rpt_05-08-2011.XLS?d=wac347afc85664c2aafc86487afdea61a,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/05 Aug 2011/SEVN_101-CB-1X_Geoservices Mor Rpt_05-08-2011.XLS,,,2024-02-24T17:45:54,503808
SEVN_101-CB-1X_17.5_06-08-11_14h Drll Chart.pdf,f22eacbb-e6c0-4ebb-a5f7-007f79fadcef,Data vs Time,,2011,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/06 Aug 2011/SEVN_101-CB-1X_17.5_06-08-11_14h Drll Chart.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=c2d135e5-7f5a-4c56-b040-019cae150181,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=c2d135e5-7f5a-4c56-b040-019cae150181,2024-02-24T17:45:55,157501
SEVN_101-CB-1X_Geoservices Aft Rpt_06-08-2011.XLS,822a9e29-e874-4d14-a635-0975966dc347,Data vs Time,BSP Morning Report,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20100-101/101-CB-1X/101-CB-1X_Master%20log/06%20Aug%202011/SEVN_101-CB-1X_Geoservices%20Aft%20Rpt_06-08-2011.XLS?d=w3b6afe17b00149978a3e56fe96e82103,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/06 Aug 2011/SEVN_101-CB-1X_Geoservices Aft Rpt_06-08-2011.XLS?d=w3b6afe17b00149978a3e56fe96e82103,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 100-101/101-CB-1X/101-CB-1X_Master log/06 Aug 2011/SEVN_101-CB-1X_Geoservices Aft Rpt_06-08-2011.XLS,,,2024-02-24T17:45:55,504320
2004 Block 2004 _Seismic data interpretation report full.pdf,87837834-2d49-46bf-aa16-766bb40c7906,"Seismic data interpretation report
SONG HONG BASIN BLOCK 102 & 106",,2004,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2004 Block 2004 _Seismic data interpretation report full.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=8fb6f34a-0bc1-4b75-a847-8566480c6853,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=8fb6f34a-0bc1-4b75-a847-8566480c6853,2024-02-01T08:18:40,74482925
1991_Blocks 102 & 106 Evaluation Report_Total.pdf,adb64dbd-be0c-440b-8cb7-96e25ad58127,?,,1991,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/1991_Blocks 102 & 106 Evaluation Report_Total.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=dfe68aa6-0e72-4582-8ef1-213f34fa7552,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=dfe68aa6-0e72-4582-8ef1-213f34fa7552,2024-02-01T08:18:52,814223
2005_Petronas 102_106_Tectonic study of Ha Long Yen Tu area.pdf,1e1d59af-f6c7-4c66-a433-7153ea20df38,Tectonic study of pre-cenozoic basement for Yen Tu -Ha Long Area Blocks 102 & 106 Project,,2005,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2005_Petronas 102_106_Tectonic study of Ha Long Yen Tu area.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=8555c3f9-0b24-42ae-9ca0-5a7ad34be604,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=8555c3f9-0b24-42ae-9ca0-5a7ad34be604,2024-02-01T08:19:18,23611862
2006_Block 102-106_ Sequence Stratigrapy .pdf,8b471437-03a4-4d87-88ab-8bb5221d950d,"Sequence Stratigraphic Study of B locks 102 & 106 Song Hong Basin, Northern Vietnam",,2006,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2006_Block 102-106_ Sequence Stratigrapy .pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=efb5c626-f023-4d62-8c7a-a65dac85f64a,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=efb5c626-f023-4d62-8c7a-a65dac85f64a,2024-02-01T08:19:24,32699755
2008_Block 102-106 Commitee meeting.pdf,31ad2e8f-0258-4a01-9600-9c0e0f0c06c2,7th Operating committee meeting,,2008,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2008_Block 102-106 Commitee meeting.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=9b4c8fa9-54a9-480e-9870-840791c45755,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=9b4c8fa9-54a9-480e-9870-840791c45755,2024-02-01T08:19:22,10260856
1995 Block 102 Final evaluation report.pdf,da8d13d9-2913-4fb9-95a2-579d74098018,"A Final Evaluation Report Summary and Conclusions Block 102/91, Vietnam",,1995,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/1995 Block 102 Final evaluation report.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=6d443a4d-09fc-45e9-bdaf-1a865c148aee,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=6d443a4d-09fc-45e9-bdaf-1a865c148aee,2024-02-01T08:19:38,99834855
2008_102-106 Committee Meeting_Petronas.pdf,5d2dbcae-b35b-4194-9a1b-6fa6aa15bb0d,,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2008_102-106 Committee Meeting_Petronas.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=7377822c-50a8-4dca-90c7-554f9c8da7c6,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=7377822c-50a8-4dca-90c7-554f9c8da7c6,2024-02-01T08:19:36,10263684
2008_Block 102-106_Sequence straigraphy updated.pdf,adfb0688-0aa7-4c70-85e1-ff9e12cbb13d,"Updated Sequence Stratigraphy of Blocks 102 and 106 Song Hong Basin, Vietnam",,2008,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2008_Block 102-106_Sequence straigraphy updated.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=3d960859-3498-497e-a2a6-7bc3bc3a40ee,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=3d960859-3498-497e-a2a6-7bc3bc3a40ee,2024-02-01T08:20:09,15210263
2007_Block 102_3D Reservoir Thai_Binh-Hong_Ha_SEISMIC INVERSION.pdf,c7678fad-a1b4-4636-9e01-2337409b4914,"3D Reservoir Characterisation of Thai Binh- Hong Ha Field, Block 102, Song Hong Basin Offshore Vietnam",,2007,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2007_Block 102_3D Reservoir Thai_Binh-Hong_Ha_SEISMIC INVERSION.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=4cee2748-2d12-48b2-b885-cbb32a359eba,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=4cee2748-2d12-48b2-b885-cbb32a359eba,2024-02-01T08:20:13,96613252
2009 DANH GIA TIEM NANG DAU KHI HR & BLV.doc,62cfc628-6256-456f-8551-bc19a3dce487,"NGHIÊN CỨU ĐÁNH GIÁ TIỀM NĂNG DẦU KHÍ

ĐỐI TƯỢNG MÓNG CARBONATE VÀ

LỚP PHỦ NGAY TRÊN MÓNG

CẤU TẠO HÀM RỒNG VÀ PHỤ BỂ BẠCH LONG VĨ

LIÊN QUAN ĐẾN PHÁT HIỆN MỚI TẠI GIẾNG KHOAN HÀM RỒNG - 1X",Mở đầu,2009,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20102-106/Block%20study/2009%20DANH%20GIA%20TIEM%20NANG%20DAU%20KHI%20HR%20%26%20BLV.doc?d=w6b6a4c36255d4cd885ed6e939d95b347,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2009 DANH GIA TIEM NANG DAU KHI HR & BLV.doc?d=w6b6a4c36255d4cd885ed6e939d95b347,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2009 DANH GIA TIEM NANG DAU KHI HR & BLV.doc,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={6b6a4c36-255d-4cd8-85ed-6e939d95b347}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={6b6a4c36-255d-4cd8-85ed-6e939d95b347}&action=interactivepreview,2024-02-01T08:20:29,49994752
2011_ Báo cáo đầu tư TKTD dầu khí lô  102&106_PVEP.docx,ed6430ee-f95e-4264-a773-04a10a50b6fb,"áo cáo Đầu tư TKTD dầu khí lô 102/10 va 106/10, bể Sông Hồng",,2011,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20102-106/Block%20study/2011_%20Báo%20cáo%20đầu%20tư%20TKTD%20dầu%20khí%20lô%20%20102%26106_PVEP.docx?d=wff5fa88802434809b49489a14800d816,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2011_ Báo cáo đầu tư TKTD dầu khí lô  102&106_PVEP.docx?d=wff5fa88802434809b49489a14800d816,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2011_ Báo cáo đầu tư TKTD dầu khí lô  102&106_PVEP.docx,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={ff5fa888-0243-4809-b494-89a14800d816}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={ff5fa888-0243-4809-b494-89a14800d816}&action=interactivepreview,2024-02-01T08:21:03,44090915
2011_BLOCKS102-106 THAIBINH OUTLINE DEVELOPMENT PLAN (ODP) REV0.pdf,bc8f6fa0-5962-4ba8-bc04-486f3a5cd2b9,"Thai Binh outlined development plan (ODP) Report block 102, Offshore Northern Vietnam",,2011,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2011_BLOCKS102-106 THAIBINH OUTLINE DEVELOPMENT PLAN (ODP) REV0.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=55a8ca75-e3a6-44ac-bb44-061a56f149e4,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=55a8ca75-e3a6-44ac-bb44-061a56f149e4,2024-02-01T08:21:27,5209058
2015_Block 102-106 Basin Modeling Report PVEP.pdf,6c9f2241-0a58-40a1-af70-5aad60735369,Final report: Basin modeling study for block 102/10 and 106/10 in North of the Song Hong Basin,,2015,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2015_Block 102-106 Basin Modeling Report PVEP.pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=cac419cd-d8a0-4bdd-9494-879459b96f15,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=cac419cd-d8a0-4bdd-9494-879459b96f15,2024-02-01T08:21:50,25290090
2014_Block_102_106_Evaluation_JX.pptx,bbb16f7a-8e3b-40ac-8707-3d3d5fa3878f,Data review Block 102 and 106 G G Evaluation,,2014,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/Block%20102-106/Block%20study/2014_Block_102_106_Evaluation_JX.pptx?d=w1c5b94a8e648499eb602f286f375c5cf,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2014_Block_102_106_Evaluation_JX.pptx?d=w1c5b94a8e648499eb602f286f375c5cf,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/Block 102-106/Block study/2014_Block_102_106_Evaluation_JX.pptx,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={1c5b94a8-e648-499e-b602-f286f375c5cf}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={1c5b94a8-e648-499e-b602-f286f375c5cf}&action=interactivepreview,2024-02-01T08:22:17,49331473
