Name,GUID,ReportName,Title,YearOfPublication,LinkingUri,LinkingUrl,ServerRelativeUrl,ServerRedirectedEmbedUri,ServerRedirectedEmbedUrl,Created,Length
2019_May PEXMOD REPORT north Song Hong Basin.docx,41cbe21e-825c-4253-8478-fa4760afc7e8,“Định hướng công tác tìm kiếm thăm dò khu vực phía Bắc bể Sông Hồng trên cơ sở nghiên cứu tổng hợp các tài liệu cập nhậT,,2019,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2019_May%20PEXMOD%20REPORT%20north%20Song%20Hong%20Basin.docx?d=w0078be5b3a1449b789750b6073677e45,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2019_May PEXMOD REPORT north Song Hong Basin.docx?d=w0078be5b3a1449b789750b6073677e45,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2019_May PEXMOD REPORT north Song Hong Basin.docx,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={0078be5b-3a14-49b7-8975-0b6073677e45}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={0078be5b-3a14-49b7-8975-0b6073677e45}&action=interactivepreview,2024-01-18T10:46:42,143818881
SHBasin_Report VGP 597_ ENG_VGP_VPI (EPC).pdf,9d0cc828-4194-4dbe-a406-c6517b917cbf,Evaluation of Song Hong Basin,,,,,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/SHBasin_Report VGP 597_ ENG_VGP_VPI (EPC).pdf,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=a88ae545-1a47-4005-9629-4857ccf13fb3,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Embed.aspx?UniqueId=a88ae545-1a47-4005-9629-4857ccf13fb3,2024-01-18T10:47:22,6867857
Hội thảo kỹ thuật Đánh giá Bắc Bể Sông Hồng 72008.pptx,9e873c00-57b0-4471-9263-52f0b9955ab5,HỘI THẢO KỸ THUẬT ĐÁNH GIÁ CÁC CẤU TẠO KHU VỰC BẮC BỂ SÔNG HỒNG,PowerPoint Presentation,,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/Hội%20thảo%20kỹ%20thuật%20Đánh%20giá%20Bắc%20Bể%20Sông%20Hồng%2072008.pptx?d=wa476908895b6475db201a467ff08d36d,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/Hội thảo kỹ thuật Đánh giá Bắc Bể Sông Hồng 72008.pptx?d=wa476908895b6475db201a467ff08d36d,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/Hội thảo kỹ thuật Đánh giá Bắc Bể Sông Hồng 72008.pptx,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={a4769088-95b6-475d-b201-a467ff08d36d}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={a4769088-95b6-475d-b201-a467ff08d36d}&action=interactivepreview,2024-01-18T10:47:38,58936988
Chuong I  Report .ppt,f559d2e5-25cf-45eb-8e99-776805115523,Đánh giá tiềm năng dầu khí các đối tượng Miocen-Pliocen bể trầm tích Sông Hồng,Slide 1,2009,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2008_Bao%20cao%20MIO_PLIO%20Song%20Hong%20nop%20PVN_The%20Hung/Chuong%20I%20%20Report%20.ppt?d=w8c29f706da354296acc7334cab7fda65,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/Chuong I  Report .ppt?d=w8c29f706da354296acc7334cab7fda65,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/Chuong I  Report .ppt,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={8c29f706-da35-4296-acc7-334cab7fda65}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={8c29f706-da35-4296-acc7-334cab7fda65}&action=interactivepreview,2024-01-18T10:48:09,12023808
Tong ket TKTD BBSH.pptx,ca41cf84-a1b5-4423-ba4c-1c7e2c017c34,Tổng kết công tác tìm kiếm thăm dò khu vực bắc bể Sông Hồng,PowerPoint Presentation,2019,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/Tong%20ket%20TKTD%20BBSH.pptx?d=wd8b1a111fca84f579bdf708b2e7801cf,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/Tong ket TKTD BBSH.pptx?d=wd8b1a111fca84f579bdf708b2e7801cf,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/Tong ket TKTD BBSH.pptx,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={d8b1a111-fca8-4f57-9bdf-708b2e7801cf}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={d8b1a111-fca8-4f57-9bdf-708b2e7801cf}&action=interactivepreview,2024-01-18T10:48:47,117235524
Chuong III Report.ppt,35db79e1-7830-4a70-817a-065521b9bc29,Đánh giá tiềm năng dầu khí các đối tượng Miocen-Pliocen bể trầm tích Sông Hồng,Slide 1,2009,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2008_Bao%20cao%20MIO_PLIO%20Song%20Hong%20nop%20PVN_The%20Hung/Chuong%20III%20Report.ppt?d=wbe60113c95dd463d850c873f95c23b4c,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/Chuong III Report.ppt?d=wbe60113c95dd463d850c873f95c23b4c,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/Chuong III Report.ppt,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={be60113c-95dd-463d-850c-873f95c23b4c}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={be60113c-95dd-463d-850c-873f95c23b4c}&action=interactivepreview,2024-01-18T10:48:51,719360
CHUONG IV_1 Report.ppt,8f6cc4e2-eac8-436d-84d5-92b7bb3cde0d,Đánh giá tiềm năng dầu khí các đối tượng Miocen-Pliocen bể trầm tích Sông Hồng,Slide 1,2009,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2008_Bao%20cao%20MIO_PLIO%20Song%20Hong%20nop%20PVN_The%20Hung/CHUONG%20IV_1%20Report.ppt?d=wba28c8ecb2f44dd88e922ccce84d9ee6,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/CHUONG IV_1 Report.ppt?d=wba28c8ecb2f44dd88e922ccce84d9ee6,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/CHUONG IV_1 Report.ppt,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={ba28c8ec-b2f4-4dd8-8e92-2ccce84d9ee6}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={ba28c8ec-b2f4-4dd8-8e92-2ccce84d9ee6}&action=interactivepreview,2024-01-18T10:48:54,2967040
Chuong IV_2 Report.doc,c73549f1-7167-4b91-9c2a-2a6f2300939c,Đánh giá tiềm năng dầu khí các đối tượng Miocen-Pliocen bể trầm tích Sông Hồng,,2009,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2008_Bao%20cao%20MIO_PLIO%20Song%20Hong%20nop%20PVN_The%20Hung/Chuong%20IV_2%20Report.doc?d=w6779f3dc59d14d26b259ac89b7dc4fb1,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/Chuong IV_2 Report.doc?d=w6779f3dc59d14d26b259ac89b7dc4fb1,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/Chuong IV_2 Report.doc,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={6779f3dc-59d1-4d26-b259-ac89b7dc4fb1}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={6779f3dc-59d1-4d26-b259-ac89b7dc4fb1}&action=interactivepreview,2024-01-18T10:48:56,1582080
Chuong IV_3 Report.ppt,71330a04-921d-42a4-ab5c-708c96b2d72e,Đánh giá tiềm năng dầu khí các đối tượng Miocen-Pliocen bể trầm tích Sông Hồng,Slide 1,2009,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2008_Bao%20cao%20MIO_PLIO%20Song%20Hong%20nop%20PVN_The%20Hung/Chuong%20IV_3%20Report.ppt?d=wec596d0bc58a4e2792ae24e5d4327cfc,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/Chuong IV_3 Report.ppt?d=wec596d0bc58a4e2792ae24e5d4327cfc,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/Chuong IV_3 Report.ppt,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={ec596d0b-c58a-4e27-92ae-24e5d4327cfc}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={ec596d0b-c58a-4e27-92ae-24e5d4327cfc}&action=interactivepreview,2024-01-18T10:49:01,3445760
Chuong II-Report.ppt,ac0db00f-6c8b-446f-b9b6-554ae25a326a,Đánh giá tiềm năng dầu khí các đối tượng Miocen-Pliocen bể trầm tích Sông Hồng,Slide 1,2009,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared%20Documents/General/DATABASE/Song%20Hong%20Basin/1.%20Regional%20Studies/2008_Bao%20cao%20MIO_PLIO%20Song%20Hong%20nop%20PVN_The%20Hung/Chuong%20II-Report.ppt?d=w0184539a53c94724bb22f1a31cdf77d3,https://viendaukhivn.sharepoint.com/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/Chuong II-Report.ppt?d=w0184539a53c94724bb22f1a31cdf77d3,/sites/Eptesting/Shared Documents/General/DATABASE/Song Hong Basin/1. Regional Studies/2008_Bao cao MIO_PLIO Song Hong nop PVN_The Hung/Chuong II-Report.ppt,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={0184539a-53c9-4724-bb22-f1a31cdf77d3}&action=interactivepreview,https://viendaukhivn.sharepoint.com/sites/Eptesting/_layouts/15/Doc.aspx?sourcedoc={0184539a-53c9-4724-bb22-f1a31cdf77d3}&action=interactivepreview,2024-01-18T10:48:33,58946048
